scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,h_starve,h_therm,dropped
wideband,shield_repair,naive,loo,radioml,6,300,0.8552559171608682,0.14467778518026198,0.0,0.13333333333333333,5,0.0,0.3466666666666667,27.506666666666668,39.17975091628915,0.7219225838275349,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,7,300,0.8613675992091997,0.009770830350662257,0.0,0.15666666666666668,5,0.0,0.368,27.386666666666667,40.85204150970383,0.704700932542533,0.0,0.15666666666666668,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,8,300,0.8493018818454416,0.0011575077706616822,0.0,0.20333333333333334,1,0.0,0.36666666666666664,27.573333333333334,40.9050066751721,0.6459685485121084,0.0,0.20333333333333334,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,9,300,0.8208631525544833,0.008332622090259697,0.0,0.12,1,0.0,0.368,27.43,46.80946132682445,0.7008631525544833,0.0,0.12,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,10,300,0.865416765293063,0.36548062465329895,0.0,0.16333333333333333,2,0.0,0.358,27.78,41.36353877094813,0.7020834319597297,0.0,0.16333333333333333,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,11,300,0.8415659659167847,0.0006834206872023521,0.0,0.22666666666666666,1,0.0,0.36866666666666664,27.346666666666668,41.85966639421311,0.614899299250118,0.0,0.22666666666666666,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,12,300,0.858970380754858,0.32021813047987474,0.0,0.17666666666666667,1,0.0,0.358,27.48,42.02446242716481,0.6823037140881912,0.0,0.17666666666666667,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,13,300,0.8303839089035951,0.0009623665960535223,0.0,0.13666666666666666,2,0.0,0.3506666666666667,27.506666666666668,44.40803910215837,0.6937172422369285,0.0,0.13666666666666666,0.0,0.0,0.0,0.0,phi_u
wideband,shield_repair,naive,loo,radioml,14,300,0.8273172028736483,0.00024049137314473032,0.0,0.09333333333333334,10,0.0,0.36733333333333335,27.43,42.70170551660592,0.733983869540315,0.0,0.09333333333333334,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,0,300,0.98383188848764,0.9635848677374804,0.0,0.02666666666666667,1,0.0,0.356,25.216666666666665,41.133461306320285,0.9571652218209734,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,1,300,0.9854698370714294,0.9739321510045325,0.0,0.05,1,0.0,0.34933333333333333,25.226666666666667,39.13216416908098,0.9354698370714294,0.0,0.05,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,2,300,0.9821167256207666,0.9739261131144783,0.0,0.056666666666666664,1,0.0,0.354,25.05,39.75045022168684,0.9254500589540998,0.0,0.056666666666666664,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,3,300,0.9760463871683432,0.9660452668329287,0.0,0.03,1,0.0,0.3373333333333333,25.05,40.20889775960902,0.946046387168343,0.0,0.03,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,4,300,0.9834374368051473,0.9732962805005642,0.0,0.03,1,0.0,0.3486666666666667,25.276666666666667,43.74443957306365,0.9534374368051473,0.0,0.03,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,5,300,0.9815874147539275,0.973644273403568,0.0,0.03333333333333333,4,0.0,0.37666666666666665,25.303333333333335,39.516807834867095,0.9482540814205942,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,6,300,0.9785747674206308,0.9660388049287939,0.0,0.013333333333333334,1,0.0,0.358,25.006666666666668,44.141609778843616,0.9652414340872975,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,7,300,0.9859369343848933,0.9719098444028966,0.0,0.02666666666666667,1,0.0,0.3486666666666667,24.84,38.584934087672174,0.9592702677182267,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,8,300,0.9857211097648758,0.9738841193148835,0.0,0.016666666666666666,1,0.0,0.3313333333333333,25.123333333333335,41.999813891251875,0.9690544430982091,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,9,300,0.9826575651234896,0.9665888444487107,0.0,0.05333333333333334,1,0.0,0.33666666666666667,24.89666666666667,37.93133120004411,0.9293242317901562,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,10,300,0.9840931538620513,0.9730377908189588,0.0,0.023333333333333334,1,0.0,0.3526666666666667,25.363333333333333,41.674939669107225,0.960759820528718,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,11,300,0.985635425739811,0.9715722115976104,0.0,0.023333333333333334,1,0.0,0.34933333333333333,25.05666666666667,39.17436217689289,0.9623020924064777,0.0,0.023333333333333334,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,12,300,0.984729536123795,0.9739793400526598,0.0,0.02666666666666667,1,0.0,0.3506666666666667,25.09,40.657378020719,0.9580628694571283,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,13,300,0.9829828808413038,0.9719553130553941,0.0,0.013333333333333334,1,0.0,0.3413333333333333,25.133333333333333,40.20239070517481,0.9696495475079704,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,phi_u
bursty,shield_repair,naive,loo,radioml,14,300,0.983231778981283,0.9666061720548949,0.0,0.013333333333333334,1,0.0,0.368,25.143333333333334,38.17567081334196,0.9698984456479497,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,phi_u
