scenario,controller,planner,predicate_set,perception,seed,cycles,mean_pdr,p05_pdr,violation_rate_phi,hazard_rate,recovery_cycles,fallback_rate,repair_rate,mean_power_dbm,max_pa_temp_c,mean_reward,h_rf,h_pwr,h_relay,h_part,compliant_available_rate,h_starve,h_therm,atk_predicate_set
bursty,lagrangian_rl,adaptive,phi_plus,radioml,20,300,0.953309451097662,0.7790857484701009,0.7633333333333333,0.15,1,0.0,0.0,27.96,49.571577854201124,0.8033094510976619,0.0,0.09333333333333334,0.0,0.0,0.6433333333333333,0.0,0.06666666666666667,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,21,300,0.9575798757805423,0.7791998176614505,0.7533333333333333,0.27666666666666667,1,0.0,0.0,27.986666666666668,44.113018193393586,0.6809132091138757,0.0,0.21333333333333335,0.0,0.0,0.6866666666666666,0.0,0.08666666666666667,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,22,300,0.9604327135399254,0.9026361618568931,0.73,0.19,1,0.0,0.0,27.73,49.71568766846405,0.7704327135399255,0.0,0.17,0.0,0.0,0.65,0.0,0.02666666666666667,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,23,300,0.9573569599303403,0.7791971659275824,0.7966666666666666,0.14,1,0.0,0.0,28.183333333333334,46.66089850624798,0.8173569599303403,0.0,0.09,0.0,0.0,0.6466666666666666,0.0,0.056666666666666664,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,24,300,0.948022386914213,0.7783791504982855,0.7066666666666667,0.2733333333333333,1,0.0,0.0,27.516666666666666,47.89485949956564,0.6746890535808796,0.0,0.23333333333333334,0.0,0.0,0.73,0.0,0.06,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,25,300,0.9586704067743023,0.779199989014721,0.7633333333333333,0.11333333333333333,1,0.0,0.0,28.036666666666665,47.48692403705381,0.8453370734409689,0.0,0.08333333333333333,0.0,0.0,0.6633333333333333,0.0,0.04666666666666667,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,26,300,0.9493305315876679,0.7791522575707904,0.83,0.2633333333333333,1,0.0,0.0,28.39666666666667,49.271288020114454,0.6859971982543346,0.0,0.16,0.0,0.0,0.6566666666666666,0.0,0.13333333333333333,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,27,300,0.9605841782265425,0.8221831215294492,0.7833333333333333,0.17,1,0.0,0.0,28.183333333333334,50.11903519140333,0.7905841782265426,0.0,0.11333333333333333,0.0,0.0,0.64,0.0,0.056666666666666664,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,28,300,0.9415459380893357,0.7463508950060888,0.7166666666666667,0.23333333333333334,2,0.0,0.0,27.746666666666666,46.36825011039557,0.7082126047560026,0.0,0.18666666666666668,0.0,0.0,0.6866666666666666,0.0,0.056666666666666664,phi
bursty,lagrangian_rl,adaptive,phi_plus,radioml,29,300,0.9632191644031076,0.8486253786607904,0.7966666666666666,0.27,1,0.0,0.0,28.11,45.348625485624375,0.6932191644031076,0.0,0.15666666666666668,0.0,0.0,0.6333333333333333,0.0,0.12333333333333334,phi
bursty,simplex_rta,adaptive,phi_plus,radioml,0,300,0.9897340165091367,0.9881932347453041,0.25666666666666665,0.016666666666666666,1,0.0,0.0,26.156666666666666,44.22074440637752,0.97306734984247,0.0,0.016666666666666666,0.0,0.0,0.7233333333333334,0.0,0.0,phi
bursty,simplex_rta,adaptive,phi_plus,radioml,1,300,0.9912084052308844,0.9894418396774276,0.25333333333333335,0.01,1,0.0,0.0,26.176666666666666,44.33468786834423,0.9812084052308844,0.0,0.01,0.0,0.0,0.6733333333333333,0.0,0.0,phi
bursty,simplex_rta,adaptive,phi_plus,radioml,2,300,0.9924660623848169,0.9901553406519622,0.2833333333333333,0.0033333333333333335,1,0.0,0.0,26.166666666666668,45.67725059790068,0.9891327290514836,0.0,0.0033333333333333335,0.0,0.0,0.93,0.0,0.0,phi
bursty,simplex_rta,adaptive,phi_plus,radioml,3,300,0.9917044797680935,0.9907761367864619,0.24666666666666667,0.006666666666666667,1,0.0,0.0,26.14666666666667,44.331509396012464,0.9850378131014266,0.0,0.006666666666666667,0.0,0.0,0.8133333333333334,0.0,0.0,phi
bursty,simplex_rta,adaptive,phi_plus,radioml,4,300,0.9882276868481,0.987341568839717,0.25333333333333335,0.016666666666666666,1,0.0,0.0,26.153333333333332,44.291744599873006,0.9715610201814333,0.0,0.016666666666666666,0.0,0.0,0.7266666666666667,0.0,0.0,phi
bursty,simplex_rta,adaptive,phi_plus,radioml,5,300,0.9892234784433852,0.9739999423121809,0.26666666666666666,0.01,1,0.0,0.0,26.153333333333332,44.194625370598516,0.9792234784433852,0.0,0.01,0.0,0.0,0.7366666666666667,0.0,0.0,phi
