condition,scenario,controller,seed,cycles,mean_pdr,p95_latency_proxy,safety_violations,violation_rate,recovery_cycles,rollbacks,admitted_actions,total_proposals,mean_reward
radioml,bursty,shield_ric,8,300,0.9646346289350854,1.03131446329355,0,0.0,1,2,298,1500,0.5024346289350855
radioml,bursty,shield_ric,9,300,0.9669780273060212,1.0338816085752167,0,0.0,1,1,299,1500,0.5073780273060212
radioml,backhaul,static,0,300,0.8158315356989673,2.8490139252528834,0,0.0,5,0,0,0,0.35583153569896725
radioml,backhaul,static,1,300,0.8049981156500869,2.8490139529217307,0,0.0,1,0,0,0,0.3449981156500869
radioml,backhaul,static,2,300,0.8309977561077093,2.8490139388157814,0,0.0,1,0,0,0,0.3709977561077094
radioml,backhaul,static,3,300,0.82666487674657,2.8490152875892396,0,0.0,3,0,0,0,0.3666648767465701
radioml,backhaul,static,4,300,0.8201648974078053,2.849013408830876,0,0.0,3,0,0,0,0.3601648974078052
radioml,backhaul,static,5,300,0.7811648512458091,2.849013991236537,0,0.0,2,0,0,0,0.3211648512458091
radioml,backhaul,static,6,300,0.7941648950544009,2.8490161060022943,0,0.0,2,0,0,0,0.33416489505440083
radioml,backhaul,static,7,300,0.8158314292807705,2.849013565531584,0,0.0,1,0,0,0,0.35583142928077044
radioml,backhaul,static,8,300,0.7768313668462938,2.8490131980872206,0,0.0,1,0,0,0,0.3168313668462938
radioml,backhaul,static,9,300,0.8049980860569091,2.8490138184833467,0,0.0,1,0,0,0,0.3449980860569091
radioml,backhaul,heuristic,0,300,0.9773312148421032,1.0857805587821745,0,0.0,1,0,0,0,0.5173312148421032
radioml,backhaul,heuristic,1,300,0.9759977619387109,1.0857803433993722,0,0.0,1,0,0,0,0.5159977619387109
radioml,backhaul,heuristic,2,300,0.9791974162349398,1.0857805639602367,0,0.0,1,0,0,0,0.5191974162349398
radioml,backhaul,heuristic,3,300,0.978664503288383,1.0857806972977806,0,0.0,1,0,0,0,0.5186645032883831
radioml,backhaul,heuristic,4,300,0.9778645583093364,1.0857803616218595,0,0.0,1,0,0,0,0.5178645583093364
radioml,backhaul,heuristic,5,300,0.9730645483738982,1.085780368322936,0,0.0,1,0,0,0,0.5130645483738983
radioml,backhaul,heuristic,6,300,0.9746645050476576,1.0857813913517298,0,0.0,1,0,0,0,0.5146645050476574
radioml,backhaul,heuristic,7,300,0.9773311236795741,1.0857802930914087,0,0.0,1,0,0,0,0.5173311236795741
radioml,backhaul,heuristic,8,300,0.9725311223877124,1.0857802574804973,0,0.0,1,0,0,0,0.5125311223877124
radioml,backhaul,heuristic,9,300,0.9759976695903019,1.0857804337768238,0,0.0,1,0,0,0,0.5159976695903018
radioml,backhaul,rl,0,300,0.8074098197542441,2.8900397772725337,91,0.30333333333333334,1,0,300,1500,0.025476486420910664
radioml,backhaul,rl,1,300,0.8237736644411819,2.8712398146698637,93,0.31,1,0,300,1500,0.02910699777451517
radioml,backhaul,rl,2,300,0.8338312678810331,2.862125530972176,83,0.27666666666666667,1,0,300,1500,0.08356460121436637
radioml,backhaul,rl,3,300,0.8061275446461375,2.8893550274630124,82,0.2733333333333333,5,0,300,1500,0.0540608779794707
radioml,backhaul,rl,4,300,0.790032947586885,2.869638196574208,81,0.27,1,0,300,1500,0.04289961425355156
radioml,backhaul,rl,5,300,0.8292887547595962,2.8770427565415644,91,0.30333333333333334,3,0,300,1500,0.04942208809292945
radioml,backhaul,rl,6,300,0.798533534841833,2.868582661373026,77,0.25666666666666665,2,0,300,1500,0.066133534841833
radioml,backhaul,rl,7,300,0.8172853995080577,2.8689733035496676,89,0.2966666666666667,3,0,300,1500,0.04268539950805777
radioml,backhaul,rl,8,300,0.811063594366229,2.889660501641824,87,0.29,1,0,300,1500,0.04526359436622883
radioml,backhaul,rl,9,300,0.813177883100171,2.8701609169208977,82,0.2733333333333333,2,0,300,1500,0.0621778831001711
radioml,backhaul,llm_only,0,300,0.8209428469300925,2.884156204631591,95,0.31666666666666665,1,0,300,1500,0.02447618026342579
radioml,backhaul,llm_only,1,300,0.8065151590910652,2.893978838888432,88,0.29333333333333333,1,0,300,1500,0.0389151590910651
radioml,backhaul,llm_only,2,300,0.8273077067032233,2.8647192290353787,97,0.3233333333333333,1,0,300,1500,0.03104104003655654
radioml,backhaul,llm_only,3,300,0.8118190084192738,2.9171097637862906,87,0.29,2,0,300,1500,0.04741900841927375
radioml,backhaul,llm_only,4,300,0.806795750533516,2.871621725172069,95,0.31666666666666665,1,0,300,1500,0.011195750533515885
radioml,backhaul,llm_only,5,300,0.8263646571306437,2.8664108754194486,92,0.30666666666666664,4,0,300,1500,0.04263132379731032
radioml,backhaul,llm_only,6,300,0.8019049919739946,2.865389447633719,89,0.2966666666666667,2,0,300,1500,0.017304991973994526
radioml,backhaul,llm_only,7,300,0.8286879245819525,2.8916958820414393,99,0.33,3,0,300,1500,0.018354591248619045
radioml,backhaul,llm_only,8,300,0.8104617229693963,2.8777114011886806,98,0.32666666666666666,1,0,300,1500,0.00532838963606285
radioml,backhaul,llm_only,9,300,0.8024392539485319,2.898173717240142,97,0.3233333333333333,2,0,300,1500,0.004239253948531913
radioml,backhaul,shield_ric,0,300,0.7738883138505805,2.980278096188446,0,0.0,4,2,298,1500,0.31348831385058046
radioml,backhaul,shield_ric,1,300,0.7746775477504639,4.296168664156803,0,0.0,1,3,297,1500,0.31427754775046407
radioml,backhaul,shield_ric,2,300,0.7901959571694186,3.294385021809044,0,0.0,3,4,296,1500,0.3307959571694187
radioml,backhaul,shield_ric,3,300,0.7905116914067695,3.334492891792772,0,0.0,2,3,297,1500,0.3311116914067694
radioml,backhaul,shield_ric,4,300,0.7543670877897052,2.959210474485406,0,0.0,2,6,294,1500,0.29416708778970513
radioml,backhaul,shield_ric,5,300,0.7762203719190268,3.184536075978338,0,0.0,4,4,296,1500,0.3146203719190267
radioml,backhaul,shield_ric,6,300,0.775896252437681,2.8825849711894143,0,0.0,2,2,298,1500,0.31489625243768105
radioml,backhaul,shield_ric,7,300,0.7913795776889985,2.893351355730037,0,0.0,3,1,299,1500,0.33117957768899847
radioml,backhaul,shield_ric,8,300,0.7900701333212209,2.9580084439329464,0,0.0,1,4,296,1500,0.3296701333212209
radioml,backhaul,shield_ric,9,300,0.7919502224853011,2.8932975883778185,0,0.0,2,7,293,1500,0.3319502224853012
radioml,compromised_xapp,static,0,300,0.9982091533860765,1.0044777275386367,0,0.0,1,0,0,0,0.5382091533860766
radioml,compromised_xapp,static,1,300,0.9984628472247389,1.004456563373333,0,0.0,1,0,0,0,0.5384628472247389
radioml,compromised_xapp,static,2,300,0.9983933862804463,1.004432735471389,0,0.0,1,0,0,0,0.5383933862804464
radioml,compromised_xapp,static,3,300,0.9985780174563653,1.004346573266425,0,0.0,1,0,0,0,0.5385780174563654
radioml,compromised_xapp,static,4,300,0.9984329635545742,1.003605811897578,0,0.0,1,0,0,0,0.5384329635545743
radioml,compromised_xapp,static,5,300,0.9984759267951067,1.0038552434530876,0,0.0,1,0,0,0,0.5384759267951067
radioml,compromised_xapp,static,6,300,0.9984515056607347,1.0049594809426197,0,0.0,1,0,0,0,0.5384515056607349
radioml,compromised_xapp,static,7,300,0.9983434574096826,1.0048916283622829,0,0.0,1,0,0,0,0.5383434574096826
radioml,compromised_xapp,static,8,300,0.998151851668167,1.005710687823764,0,0.0,1,0,0,0,0.538151851668167
radioml,compromised_xapp,static,9,300,0.9982001260212454,1.0052617105846098,0,0.0,1,0,0,0,0.5382001260212455
radioml,compromised_xapp,heuristic,0,300,0.9999881032094706,0.9990058891042779,0,0.0,1,0,0,0,0.5399881032094707
radioml,compromised_xapp,heuristic,1,300,0.9999992115701991,0.999004916062665,0,0.0,1,0,0,0,0.5399992115701993
radioml,compromised_xapp,heuristic,2,300,0.9999991257316759,0.9990051826849903,0,0.0,1,0,0,0,0.539999125731676
radioml,compromised_xapp,heuristic,3,300,0.9999992633453239,0.9990044092272938,0,0.0,1,0,0,0,0.5399992633453238
radioml,compromised_xapp,heuristic,4,300,0.9999991693307243,0.9990049626492337,0,0.0,1,0,0,0,0.5399991693307243
radioml,compromised_xapp,heuristic,5,300,0.9999919911083391,0.9990052166383323,0,0.0,1,0,0,0,0.539991991108339
radioml,compromised_xapp,heuristic,6,300,0.9999991731221849,0.9990052961001461,0,0.0,1,0,0,0,0.5399991731221848
radioml,compromised_xapp,heuristic,7,300,0.9999990705714149,0.9990054183307305,0,0.0,1,0,0,0,0.5399990705714149
radioml,compromised_xapp,heuristic,8,300,0.9999989107654903,0.999006165774094,0,0.0,1,0,0,0,0.5399989107654903
radioml,compromised_xapp,heuristic,9,300,0.999988287899039,0.999005160843407,0,0.0,1,0,0,0,0.539988287899039
radioml,compromised_xapp,rl,0,300,0.9555112877227403,1.4967167386972282,111,0.37,1,0,300,1500,0.0991779543894069
radioml,compromised_xapp,rl,1,300,0.979874956406264,1.0149169904646258,132,0.44,1,0,300,1500,0.05220828973959724
radioml,compromised_xapp,rl,2,300,0.9584410244972643,1.391950918776406,137,0.45666666666666667,1,0,300,1500,0.017107691163930946
radioml,compromised_xapp,rl,3,300,0.9674637965824316,1.0481017597388387,109,0.36333333333333334,1,0,300,1500,0.11586379658243158
radioml,compromised_xapp,rl,4,300,0.9561804516012838,1.5284474299278497,119,0.39666666666666667,1,0,300,1500,0.06898045160128355
radioml,compromised_xapp,rl,5,300,0.9514042013294435,1.9955659357751672,128,0.4266666666666667,1,0,300,1500,0.03547086799611035
radioml,compromised_xapp,rl,6,300,0.9486780998007079,2.3805687695851194,119,0.39666666666666667,1,0,300,1500,0.060078099800707926
radioml,compromised_xapp,rl,7,300,0.9715596106912036,1.1012488728047347,128,0.4266666666666667,1,0,300,1500,0.044359610691203574
radioml,compromised_xapp,rl,8,300,0.9626270043227397,1.269767279654293,124,0.41333333333333333,1,0,300,1500,0.06142700432273984
radioml,compromised_xapp,rl,9,300,0.9317429027011546,4.029916875753627,127,0.42333333333333334,1,0,300,1500,0.012942902701154611
radioml,compromised_xapp,llm_only,0,300,0.9573987059012793,1.6336512953818672,124,0.41333333333333333,1,0,300,1500,0.060865372567945795
radioml,compromised_xapp,llm_only,1,300,0.9530386032218555,1.8208535221485878,133,0.44333333333333336,1,0,300,1500,0.025038603221855377
radioml,compromised_xapp,llm_only,2,300,0.9471448428571004,2.709325063367418,113,0.37666666666666665,1,0,300,1500,0.08854484285710022
radioml,compromised_xapp,llm_only,3,300,0.9440753967363587,2.5822943857666427,99,0.33,1,0,300,1500,0.12767539673635867
radioml,compromised_xapp,llm_only,4,300,0.9613613699023688,1.365314799256919,133,0.44333333333333336,1,0,300,1500,0.030494703235701835
radioml,compromised_xapp,llm_only,5,300,0.9501082635568289,1.5164730166464104,122,0.4066666666666667,1,0,300,1500,0.05744159689016216
radioml,compromised_xapp,llm_only,6,300,0.9594006450544554,1.091536506516304,116,0.38666666666666666,1,0,300,1500,0.08193397838778886
radioml,compromised_xapp,llm_only,7,300,0.9452589595271911,2.7399305584521456,130,0.43333333333333335,1,0,300,1500,0.011058959527190998
radioml,compromised_xapp,llm_only,8,300,0.9662425227109346,1.1379059503181925,121,0.4033333333333333,1,0,300,1500,0.0688425227109345
radioml,compromised_xapp,llm_only,9,300,0.9654179440673613,1.0651289957285877,127,0.42333333333333334,1,0,300,1500,0.045217944067361494
radioml,compromised_xapp,shield_ric,0,300,0.9322451273214307,10.542785663893138,0,0.0,1,12,288,1500,0.47084512732143063
radioml,compromised_xapp,shield_ric,1,300,0.9280982466273527,9.268022007922774,0,0.0,1,12,288,1500,0.4682982466273528
radioml,compromised_xapp,shield_ric,2,300,0.8999355638224695,42.38355182049215,0,0.0,1,10,290,1500,0.43733556382246946
radioml,compromised_xapp,shield_ric,3,300,0.96269155733719,1.077842049456441,0,0.0,1,12,288,1500,0.50209155733719
radioml,compromised_xapp,shield_ric,4,300,0.9349826871927356,13.207111179594996,0,0.0,1,13,287,1500,0.4777826871927355
radioml,compromised_xapp,shield_ric,5,300,0.9223269505090066,15.754685103607143,0,0.0,1,17,283,1500,0.46292695050900684
radioml,compromised_xapp,shield_ric,6,300,0.9534111033418264,1.8188385385561903,0,0.0,1,8,292,1500,0.4922111033418264
radioml,compromised_xapp,shield_ric,7,300,0.94156170877876,3.52016229414048,0,0.0,1,8,292,1500,0.4845617087787599
radioml,compromised_xapp,shield_ric,8,300,0.9325278969266189,3.5970673127530888,0,0.0,1,18,282,1500,0.4709278969266186
radioml,compromised_xapp,shield_ric,9,300,0.9350187215297971,4.204217886085318,0,0.0,1,13,287,1500,0.47401872152979696
radioml,compound,static,0,300,0.7527069753708158,4.917829249767824,0,0.0,35,0,0,0,0.29270697537081586
radioml,compound,static,1,300,0.7287187750847149,5.382476042639508,0,0.0,37,0,0,0,0.268718775084715
radioml,compound,static,2,300,0.7637872958299632,5.084005267735443,0,0.0,35,0,0,0,0.30378729582996317
radioml,compound,static,3,300,0.7532363827680507,4.926811804254354,0,0.0,35,0,0,0,0.29323638276805064
radioml,compound,static,4,300,0.7432164969308853,4.998385259341429,0,0.0,19,0,0,0,0.28321649693088524
radioml,compound,static,5,300,0.7520693703381919,5.036908304021239,0,0.0,35,0,0,0,0.29206937033819186
radioml,compound,static,6,300,0.7566602209250866,4.219982245116943,0,0.0,35,0,0,0,0.29666022092508654
radioml,compound,static,7,300,0.737038064388344,4.968546784019024,0,0.0,35,0,0,0,0.2770380643883441
radioml,compound,static,8,300,0.7546192938062636,4.388385365672421,0,0.0,15,0,0,0,0.29461929380626345
radioml,compound,static,9,300,0.7601861252063401,4.222386624139638,0,0.0,28,0,0,0,0.30018612520633997
radioml,compound,heuristic,0,300,0.9726542911822802,1.0904661368569977,0,0.0,1,0,0,0,0.5126542911822802
